Title,Company,Location,Date Posted,Link,Scraped At
Analyst,IntegriChain,"Pune, Maharashtra, India",2025-08-15,https://in.linkedin.com/jobs/view/analyst-at-integrichain-4275408490,2025-08-16T10:51:49.465784
Associate,PwC India,"Pune, Maharashtra, India",2025-08-15,https://in.linkedin.com/jobs/view/associate-at-pwc-india-4042732201,2025-08-16T10:51:49.534759
Data Analyst,GK HR Consulting India Pvt. Ltd.,"Pune, Maharashtra, India",2025-08-16,https://in.linkedin.com/jobs/view/data-analyst-at-gk-hr-consulting-india-pvt-ltd-4286848268,2025-08-16T10:51:49.599517
Senior Analyst - Data Analytics - Pan India - GO/JC/687/2025,Golden Opportunities,"Pune, Maharashtra, India",2025-08-16,https://in.linkedin.com/jobs/view/senior-analyst-data-analytics-pan-india-go-jc-687-2025-at-golden-opportunities-4272069966,2025-08-16T10:51:49.664033
"Analyst, Clinical Analytics",Evolent,"Pune, Maharashtra, India",2025-08-15,https://in.linkedin.com/jobs/view/analyst-clinical-analytics-at-evolent-4270160111,2025-08-16T10:51:49.724297
Data Analyst - Palantir,,,2025-08-15,https://in.linkedin.com/jobs/view/data-analyst-palantir-at-eaton-4283294256,2025-08-16T10:51:49.785926
,,,2025-08-15,https://in.linkedin.com/jobs/view/data-scientist-at-fusemachines-4286659669,2025-08-16T10:51:49.851485
,,,2025-08-16,https://in.linkedin.com/jobs/view/data-engineer-at-rapid7-4272066786,2025-08-16T10:51:49.949042
,,,2025-08-16,https://in.linkedin.com/jobs/view/data-engineer-at-rapid7-4272070149,2025-08-16T10:51:50.013692
,,,2025-08-16,https://in.linkedin.com/jobs/view/data-engineer-at-people-prime-worldwide-4286838093,2025-08-16T10:51:50.077462
,,,2025-08-15,https://in.linkedin.com/jobs/view/data-analytics-intmd-analyst-c11-at-citi-4260603212,2025-08-16T10:51:50.140533
,,,2025-08-15,https://in.linkedin.com/jobs/view/embedded-intelligence-analyst-at-sibylline-ltd-4286536852,2025-08-16T10:51:50.242823
,,,2025-08-15,https://in.linkedin.com/jobs/view/data-engineer-at-vanderlande-4268977847,2025-08-16T10:51:50.335126
,,,2025-08-15,https://in.linkedin.com/jobs/view/data-engineer-pyspark-sql-at-barclays-4283294544,2025-08-16T10:51:50.388197
,,,2025-08-15,https://in.linkedin.com/jobs/view/data-eng-dap-at-schaeffler-4275383085,2025-08-16T10:51:50.441792
,,,2025-08-16,https://in.linkedin.com/jobs/view/business-intelligence-systems-engineer-at-workday-4270179880,2025-08-16T10:51:50.503796
,,,2025-08-15,https://in.linkedin.com/jobs/view/associate-process-manager-at-eclerx-4286939784,2025-08-16T10:51:50.582743
,,,2025-08-15,https://in.linkedin.com/jobs/view/itsm-analyst-cmdb-at-sas-4234039851,2025-08-16T10:51:50.638749
,,,2025-08-15,https://in.linkedin.com/jobs/view/systems-engr-i-at-honeywell-4275342811,2025-08-16T10:51:50.693793
,,,2025-08-16,https://in.linkedin.com/jobs/view/uat-payments-go-jc-644-2025-at-golden-opportunities-4272072873,2025-08-16T10:51:50.748057
,,,2025-08-15,https://in.linkedin.com/jobs/view/systems-engr-i-at-honeywell-4275416223,2025-08-16T10:51:50.802128
,,,2025-08-15,https://in.linkedin.com/jobs/view/associate-process-manager-at-eclerx-4286942509,2025-08-16T10:51:50.859839
,,,2025-08-15,https://in.linkedin.com/jobs/view/associate-process-manager-at-eclerx-4286945160,2025-08-16T10:51:50.915263
,,,2025-08-15,https://in.linkedin.com/jobs/view/associate-process-manager-at-eclerx-4286942505,2025-08-16T10:51:50.970357
,,,2025-08-15,https://in.linkedin.com/jobs/view/systems-engr-i-at-honeywell-4275551839,2025-08-16T10:51:51.030433
,,,2025-08-15,https://in.linkedin.com/jobs/view/azure-data-engineer-at-bridgenext-4286699231,2025-08-16T10:51:51.084643
,,,2025-08-15,https://in.linkedin.com/jobs/view/python-at-virtusa-4247906639,2025-08-16T10:51:51.157651
